#,Have,Name,Set,Number,Rarity,Type,Picture,Date,Notes,Market Price
,,Giovanni's Meowth,Gym Challenge,#074/132,Common,1st Edition,,,,
,,Giovanni's Meowth,Gym Challenge,#074/132,Common,Unlimited,,,,
,,Giovanni's Meowth,Gym Challenge,#043/132,Common,1st Edition,,,,
,,Giovanni's Meowth,Gym Challenge,#043/132,Common,Unlimited,,,,
1,TRUE,Meowth,SV: Scarlet & Violet 151,#052/165,Common,Normal,,,,$0.18
2,FALSE,Meowth,SV: Scarlet & Violet 152,#052/165,Common,Reverse Holo,,,,
3,TRUE,Meowth,ME02: Phantasmal Flames,#106/094,Illustration Rare,,,,,$17.53
4,FALSE,Meowth,Team Rocket,#62/82,Common,1st Edition,,,,$2.56
5,TRUE,Meowth,Team Rocket,#62/82,Common,Unlimited,,,,
6,FALSE,Meowth,XY - Fates Collide,#74/124,Common,Normal,,,,$0.18
7,TRUE,Meowth,XY - Fates Collide,#74/124,Common,Reverse Holo,,,,
8,FALSE,Meowth,XY - Steam Siege,#88/114,Common,Normal,,,,$0.23
9,FALSE,Meowth,XY - Steam Siege,#88/114,Common,Reverse Holo,,,,
10,FALSE,Meowth,XY - Ancient Origins,#61/98,Common,Normal,,,,$0.26
11,FALSE,Meowth,XY - Ancient Origins,#61/98,Common,Reverse Holo,,,,
12,FALSE,Meowth,WoTC Promo,#10/53,Promo,,,,,$53.70
13,FALSE,Meowth,FireRed & LeafGreen,#69/112,Common,Normal,,,,$1.34
14,FALSE,Meowth,FireRed & LeafGreen,#69/112,Common,Reverse Holo,,,,
15,TRUE,Meowth,Jungle,#56/64,Common,1st Edition,,,PSA 8,$5.63
16,FALSE,Meowth,Jungle,#56/64,Common,Unlimited,,,,
17,FALSE,Meowth,SWSH08: Fusion Strike,#199/264,Common,Normal,,,,$0.12
18,FALSE,Meowth,SWSH08: Fusion Strike,#199/264,Common,Reverse Holo,,,,
19,FALSE,Meowth,SM - Burning Shadows,#101/147,Common,Normal,,,,$0.18
20,FALSE,Meowth,SM - Burning Shadows,#101/147,Common,Reverse Holo,,,,
21,FALSE,Meowth,Generations,#53/83,Common,Normal,,,,$0.23
22,FALSE,Meowth,Generations,#53/83,Common,Reverse Holo,,,,
23,FALSE,Meowth,XY - Roaring Skies,#67/108,Common,Normal,,,,$0.28
24,FALSE,Meowth,XY - Roaring Skies,#67/108,Common,Reverse Holo,,,,
25,TRUE,Meowth,SV: Shrouded Fable,#048/064,Common,Normal,,,,$0.12
26,FALSE,Meowth,SV: Shrouded Fable,#048/064,Common,Reverse Holo,,,,
27,FALSE,Galarian Meowth,Crown Zenith,#084/159,Common,Normal,,,,$0.08
28,FALSE,Galarian Meowth,Crown Zenith,#084/159,Common,Reverse Holo,,,,
29,FALSE,Meowth,SM - Unbroken Bonds,#147/214,Common,Normal,,,,$0.70
30,FALSE,Meowth,SM - Unbroken Bonds,#147/214,Common,Reverse Holo,,,,
31,FALSE,Meowth,HeartGold SoulSilver,#75/123,Common,Normal,,,,$0.51
32,FALSE,Meowth,HeartGold SoulSilver,#75/123,Common,Reverse Holo,,,,
33,FALSE,Meowth,Delta Species,#77/113,Common,Normal,,,,$0.99
34,FALSE,Meowth,Delta Species,#77/113,Common,Reverse Holo,,,,
35,FALSE,Meowth,Base Set 2,#080/130,Common,Normal,,,,$0.69
36,FALSE,Meowth,Boundaries Crossed,#106/149,Common,Normal,,,,$0.50
37,FALSE,Meowth,Boundaries Crossed,#106/149,Common,Reverse Holo,,,,
38,FALSE,Meowth,SM - Team Up,#125/181,Common,Normal,,,,$0.23
39,FALSE,Meowth,SM - Team Up,#125/181,Common,Reverse Holo,,,,
40,FALSE,Galarian Meowth,SWSH08: Fusion Strike,#180/264,Common,Normal,,,,$0.16
41,FALSE,Galarian Meowth,SWSH08: Fusion Strike,#180/264,Common,Reverse Holo,,,,
42,FALSE,Meowth,Next Destinies,#80/99,Common,Normal,,,,$0.33
44,TRUE,Meowth,Next Destinies,#80/99,Common,Reverse Holo,,,,
45,FALSE,Meowth,XY - BREAKthrough,#114/162,Common,Normal,,,,$0.25
46,FALSE,Meowth,XY - BREAKthrough,#114/162,Common,Reverse Holo,,,,
47,TRUE,Meowth,Expedition,#121/165,Common,Normal,,,,$2.66
48,FALSE,Meowth,Expedition,#121/165,Common,Reverse Holo,,,,
49,TRUE,Meowth,Legends Awakened,#106/146,Common,Normal,,,,$0.62
50,FALSE,Meowth,Legends Awakened,#106/146,Common,Reverse Holo,,,,
51,FALSE,Meowth,Legends Awakened,#106/146,Common,Reverse Holo - Stamped,,,,
52,FALSE,Meowth,Supreme Victors,#114,Common,Normal,,,,$0.94
53,FALSE,Meowth,Supreme Victors,#114,Common,Reverse Holo,,,,
54,FALSE,Meowth,Team Magma vs Team Aqua,#42/95,Common,Normal,,,,$3.08
55,FALSE,Meowth,Team Magma vs Team Aqua,#42/95,Common,Reverse Holo,,,,
56,FALSE,Meowth,EX Trainer Kit 2: Plusle & Minun,#4/12,Common,Plusle Stamp,,,,$0.51
57,FALSE,Meowth,Legendary Collection,#053/110,Uncommon,Normal,,,,$2.11
58,FALSE,Meowth,Legendary Collection,#053/110,Uncommon,Reverse Holo,,,,
59,FALSE,Meowth,Noble Victories,#102/101,Secret Rare,,,,,$83.51
60,FALSE,Galarian Meowth,SWSH02: Rebel Clash,#126/192,Common,Normal,,,,$0.13
61,FALSE,Galarian Meowth,SWSH02: Rebel Clash,#126/192,Common,Reverse Holo,,,,
62,FALSE,Meowth,Skyridge,#078/144,Common,Normal,,,,$46.72
63,FALSE,Meowth,Skyridge,#078/144,Common,Reverse Holo,,,,
64,FALSE,Rocket's Meowth,Team Rocket Returns,#46/109,Uncommon,Normal,,,,$11.27
65,FALSE,Rocket's Meowth,Team Rocket Returns,#46/109,Uncommon,Reverse Holo,,,,
66,TRUE,Meowth ex - 062/088,ME03: Perfect Order,#062/088,Double Rare,Holo,,,,$9.58
67,FALSE,Meowth ex - 121/088,ME03: Perfect Order,#121/088,Special Illustration Rare,Holo,,,,$183.97
68,FALSE,Meowth - BW35,Black and White Promos,#BW35,Promo,,,,,$22.23
69,FALSE,Galarian Meowth,SWSH04: Vivid Voltage,#112/185,Common,Normal,,,,$0.12
70,FALSE,Galarian Meowth,SWSH04: Vivid Voltage,#112/185,Common,Reverse Holo,,,,
71,FALSE,Alolan Meowth,SM Base Set,#78/149,Common,Normal,,,,$0.22
72,FALSE,Alolan Meowth,SM Base Set,#78/149,Common,Reverse Holo,,,,
73,FALSE,Alolan Meowth,SM - Lost Thunder,#118/214,Common,Normal,,,,$0.30
74,TRUE,Alolan Meowth,SM - Lost Thunder,#118/214,Common,Reverse Holo,,,,
75,FALSE,Galarian Meowth,SWSH01: Sword & Shield Base Set,#127/202,Common,Normal,,,,$0.19
76,FALSE,Galarian Meowth,SWSH01: Sword & Shield Base Set,#127/202,Common,Reverse Holo,,,,
77,FALSE,Galarian Meowth,Shining Fates: Shiny Vault,#SV086/SV122,Shiny Holo Rare,Holo,,,,$3.91
78,FALSE,Alolan Meowth,SM - Cosmic Eclipse,#128/236,Common,Normal,,,,$0.24
79,FALSE,Alolan Meowth,SM - Cosmic Eclipse,#128/236,Common,Reverse Holo,,,,
80,TRUE,Team Rocket's Meowth,ME: Ascended Heroes,#161/217,Common,Normal,,,,$0.06
81,FALSE,Meowth (#12),HGSS Trainer Kit: Gyarados & Raichu,#12/30,Common,Raichu Stamped,,,,$1.51
82,FALSE,Meowth V - SWSH004,SWSH: Sword & Shield Promo Cards,#SWSH004,Promo,,,,,$1.68
83,FALSE,Team Rocket's Meowth,WoTC Promo,#18/53,Promo,,,,,$19.95
84,TRUE,Meowth (Delta Species),Holon Phantoms,#71/110,Common,Normal,,,,$1.40
85,FALSE,Meowth (Delta Species),Holon Phantoms,#71/110,Common,Reverse Holo,,,,
86,FALSE,Meowth - 11/12,McDonald's Promos 2016,#011/012,Promo,,,,,$34.99
87,FALSE,Meowth ex - 107/088,ME03: Perfect Order,#107/088,Ultra Rare,Holo,,,,$23.62
88,FALSE,Meowth (#4),HGSS Trainer Kit: Gyarados & Raichu,#4/30,Common,Raichu Stamped,,,,$1.48
89,FALSE,Alolan Meowth - 8/12,McDonald's Promos 2017,#008/012,Promo,,,,,$4.15
90,TRUE,Team Rocket's Meowth,SV10: Destined Rivals,#149/182,Common,Normal,,,,$0.16
91,FALSE,Team Rocket's Meowth,SV10: Destined Rivals,#149/182,Common,Reverse Holo,,,,
92,FALSE,Alolan Meowth - 10/12,McDonald's Promos 2019,#010/012,Promo,,,,,$14.50
93,TRUE,Team Rocket's Meowth - 203/182,SV10: Destined Rivals,#203/182,Illustration Rare,Holo,,,,$36.48
94,FALSE,Team Rocket's Meowth (Energy Symbol Pattern),ME: Ascended Heroes,#161/217,Common,Reverse Holo,,,,$0.36
95,FALSE,Meowth - 106/146 [Platinum],Burger King Promos,#106/146,Promo,,,,,$18.24
96,FALSE,Alolan Meowth - SM51,SM Promos,#SM51,Promo,,,,,$3.59
97,FALSE,Meowth VMAX - SWSH005,Jumbo Cards,#SWSH005,Promo,,,,,$5.87
98,FALSE,Meowth (Delta Species),POP Series 5,#011/017,Common,,,,,$10.88
99,FALSE,Team Rocket's Meowth (Team Rocket),ME: Ascended Heroes,#161/217,Common,Reverse Holo,,,,$0.21
100,FALSE,Team Rocket's Meowth (Cosmos Holo),Miscellaneous Cards & Products,#149/182,Common,Cosmos Holo,,,,$0.67
101,FALSE,Meowth - 56/64 (Gold Bordered Promo),Miscellaneous Cards & Products,#56/64,Promo,,,,,$51.48
102,FALSE,Meowth - 80/99 (Mirror Reverse Holo),Miscellaneous Cards & Products,#080/099,Promo,,,,,$14.00
103,FALSE,Meowth - 53/83 (20th Anniversary),Miscellaneous Cards & Products,#053/083,Promo,,,,,
104,FALSE,Meowth - 013 (EX Series Collector's Tin),Nintendo Promos,#013,Promo,,,,,$25.65
105,FALSE,Meowth - 53/83 (Toys R Us Promo),Miscellaneous Cards & Products,#053/083,Promo,,,,,$17.19
106,TRUE,Meowth - 67/108 (Build-A-Bear Workshop Exclusive),Miscellaneous Cards & Products,#067/108,Promo,,,,Sealed,$31.61